circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,hour,day_of_week,month,temperature,humidity,area_type,population_density,solar_capacity,solar_generation,renewable_type,renewable_percentage
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GOWRISHANKAR COLONY SOUTH,DOMESTIC,1,666,586.0,92826,1052.63,7,3,4,29.656517223505766,52.295808015681395,rural,6569,509.8590852178772,460.8657193365448,solar,43.78230901043527
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GURU BRHAMA NAGAR IBRAHIM NAGA,DOMESTIC,1,1219,1197.0,137408,1649.37,23,3,2,22.300567153320344,37.19616664210583,urban,4492,577.5477151736388,304.1581232309411,solar,18.44086670855788
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HINDI NAGAR,DOMESTIC,1,128,114.0,21769,392.06,2,3,9,26.687923552423896,61.38343786852876,industrial,6294,179.74214648916436,147.69897754671817,solar,37.67254439287817
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HT DOMESTIC,DOMESTIC,1,12,12.0,107686,2013.0,21,1,7,29.539208965493078,65.5056516937312,rural,6711,612.1371852390977,463.902827388526,solar,23.045346616419575
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,DOMESTIC,1,185,183.0,79746,3086.13,20,0,7,20.202883061614077,87.56738818350001,rural,9766,1393.1778929843329,950.778649737576,solar,30.808120517851677
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 2,3,AND14",DOMESTIC,1,315,303.0,158445,5473.94,1,2,4,20.638197513949482,54.83535093084921,rural,623,1665.3883278638682,1247.0351597685794,solar,22.781308523085375
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",DOMESTIC,1,273,270.0,204279,5282.27,23,3,5,21.11041190621236,35.448623882920735,rural,8388,2020.443855069737,1162.818939337535,solar,22.013621782633884
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO-4-5-6,DOMESTIC,1,204,203.0,100975,3976.0,11,5,6,30.762704517988666,69.05608391415248,urban,9936,1353.9849780886154,1323.368317754708,solar,33.28391141234175
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,IAS-IPS OFFICERS QUARTERS,DOMESTIC,1,92,91.0,8101,457.0,5,6,12,26.721763924750423,31.266727531385403,urban,7012,213.82196424300182,125.24555937715506,solar,27.406030498283386
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,JOURNALIST .COLONY,DOMESTIC,1,499,473.0,117242,2058.0,1,1,11,37.862080961119986,55.525096642100266,rural,2806,452.6699962721162,268.4543290109636,solar,13.044428037461788
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,KCR HOUSE  NANDI NAGAR,DOMESTIC,1,1214,1141.0,179827,2107.15,20,3,12,31.184677446577886,54.5787979415701,industrial,8733,1021.2048468068081,698.9349271214728,solar,33.16968071193189
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS,DOMESTIC,1,24,18.0,5499,135.5,0,6,2,35.197926576418226,45.28914517796153,urban,4538,45.88414121028962,27.81936452009269,solar,20.53089632479165
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAGARJUNA HILLS AND PANJAGUTTA,DOMESTIC,1,53,52.0,26663,1143.0,11,6,4,33.74266353510144,87.8585433770453,urban,2731,393.6696535497017,258.41453186382915,solar,22.60844548239975
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NAIDU BASTHI,DOMESTIC,1,756,734.0,78217,857.18,21,1,4,30.40641454475451,54.204504875398605,industrial,4321,384.31244966499554,199.8137528722759,solar,23.31059437600923
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"NEW ZOHRANAGAR,RD 10,B.HILLS",DOMESTIC,1,1021,993.0,189490,3494.78,11,0,12,34.894408795302496,83.6824268817685,rural,1383,1397.403835921586,1127.8973835889701,solar,32.2737735591073
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NOOR NAGAR ,DOMESTIC,1,819,787.0,93484,1143.85,16,5,4,30.894114057354578,60.90663286179152,rural,4734,556.0403475075516,345.0567658109195,solar,30.16626007001963
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,PANJAGUTTA POLICE QRTS.,DOMESTIC,1,207,150.0,30760,387.02,9,5,7,27.70912610380901,79.23217003629335,urban,1661,140.86941808196912,138.82522076748015,solar,35.870296307033264
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.14 AMRUTHA ENCLEVE APARTMET,DOMESTIC,1,92,92.0,19029,299.76,15,5,7,28.716096650152966,57.08371335962145,industrial,7883,110.19044007624187,61.38740922420281,solar,20.478852823659864
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.14 POSH AREA@APARTMENTS,DOMESTIC,1,898,856.0,247538,5019.56,14,3,7,36.77002679087763,89.49223118776716,industrial,3024,2467.167949425599,1328.9755290775545,solar,26.47593671711374
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.2 MAIN ROAD,DOMESTIC,1,873,825.0,184167,4492.7,14,1,7,31.265471162470938,68.40174387153175,urban,2860,2147.2053528124493,1260.6399337364098,solar,28.05973988328644
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.5 PASH AREA@APARTMENTS,DOMESTIC,1,439,431.0,147925,2743.7,18,5,2,27.545922963246312,39.35682023631364,rural,9562,720.517263991169,555.6786038880671,solar,20.25289222174681
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.NO.10 HANGING APT TO BHEMAS,DOMESTIC,1,433,371.0,96025,2216.62,11,6,5,23.594863031724962,30.385849325527992,rural,7384,647.4379909717394,565.6950847682596,solar,25.520616288234322
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RDNO.10 TRIDENT APT TO MASQATI,DOMESTIC,1,372,363.0,69899,1591.76,22,6,10,29.907156844034105,85.73402199755571,industrial,2529,616.9688063328734,480.9449134141429,solar,30.214662600777935
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RDNO.4 LEFT SIDE SERVICES,DOMESTIC,1,585,567.0,129797,1740.78,19,4,2,25.048082190649495,71.2080498127711,industrial,2061,838.7295662564966,780.1728232283158,solar,44.81742800516526
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RDNO.4 RIGHT SIDE SERVICES,DOMESTIC,1,424,420.0,116208,1971.92,2,4,5,39.111597562567404,36.37744026039192,industrial,8533,727.6523751912562,579.7811237635353,solar,29.40185827840558
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO. 11,DOMESTIC,1,660,639.0,171098,3438.09,4,1,12,29.819641693021765,74.60921716727242,industrial,8053,1443.4713826901009,821.7518367343598,solar,23.901405627379148
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO.1 BANJARA HILLS,DOMESTIC,1,95,83.0,36158,681.0,18,3,6,20.17896547778514,43.62891625608681,industrial,3508,155.40393121016822,92.1292057058538,solar,13.528517724794979
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO.7 B HILLS SERVICES,DOMESTIC,1,534,533.0,150158,2200.03,6,3,3,21.857543789889483,78.55382350425029,industrial,4185,784.942649042075,532.8258717348962,solar,24.219027546665096
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD.NO.5. D.K.BASTI ,DOMESTIC,1,943,893.0,105985,1122.74,20,0,6,25.68648983421085,66.5953602842245,industrial,3832,274.2634870505946,263.29693695725996,solar,23.451283196221738
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD.NO.8 & 9 B HILLS SERVICES,DOMESTIC,1,316,310.0,92954,1917.9,8,0,5,21.84325683396622,37.419598700290535,industrial,5158,533.5399008191846,389.490386698779,solar,20.308169701172062
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SHOWKATH NGR & KBR PARK LINE,DOMESTIC,1,609,598.0,112153,1507.1,6,5,4,37.879244509908034,34.25694775502329,industrial,6049,376.61128587003583,352.9133460980901,solar,23.416717278089717
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SINGADI KUNTA  AL KAREEM HOTEL,DOMESTIC,1,926,894.0,135856,1490.87,17,2,10,37.08703133601062,57.96708001523116,urban,9726,372.3799931564017,200.09101611701544,solar,13.421090780350767
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SINGADI KUNTA [BANJARA BHAVAN],DOMESTIC,1,1075,994.0,151145,2890.68,3,6,9,39.41723017753513,86.21360748054312,rural,195,1438.14873950075,1212.8718587893268,solar,41.958011913782464
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SRINIKETAN COLONY,DOMESTIC,1,373,358.0,69624,1638.68,13,0,11,34.1293122868762,63.877961774693595,urban,205,474.3546116072172,347.99130101060985,solar,21.236074218920706
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SV.NAGAR E-VENUE APT&BEERAPPA ,DOMESTIC,1,1158,1147.0,157797,1508.46,17,3,8,32.90929092424032,75.54653193412577,urban,4416,557.5954109508344,327.0552935926923,solar,21.681403125882838
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SV.NAGAR SV.TEMPLE&CHURCH LANE,DOMESTIC,1,1047,1030.0,138048,1398.83,8,6,12,38.46993275791553,58.16839875364095,industrial,5394,288.19482646105484,155.85408247818486,solar,11.141745778842667
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,UBI COLONY,DOMESTIC,1,642,627.0,204297,3386.02,20,2,7,38.927862896126484,53.04483568325699,industrial,6720,1496.3359350770415,984.0577841187296,solar,29.062373645717678
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,UDAY NAGAR NORTH,DOMESTIC,1,1303,1242.0,166139,1520.68,1,0,11,37.54975685767205,79.33244995825532,industrial,3052,614.4586159133198,559.3425771266235,solar,36.78239847480229
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,UDAY NAGAR SOUTH,DOMESTIC,1,939,929.0,121053,956.22,19,1,1,37.229456876396455,57.803192965503015,urban,1502,256.87277776831905,210.71347978441173,solar,22.036087907010074
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,INDIRA NAGAR,DOMESTIC,1,3,344.0,0,9.0,14,4,9,33.43406510887456,38.492562455865844,industrial,495,1.8973622389772111,1.3870600887696047,solar,15.411778764106721
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR," ROAD NO-13, B.HILLS",DOMESTIC,1,635,602.0,148238,2695.61,6,0,9,20.032118944792895,46.47122947674447,industrial,8819,761.1709760451358,702.36178539226,solar,26.055764201507635
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"AMBEDKAR NAGAR, BJR NAGAR",DOMESTIC,1,1730,1463.0,177681,1473.43,11,0,6,28.590341006593054,63.68300469244124,rural,3227,572.5367642122227,338.0920584561217,solar,22.94591928059845
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,APARTMENTS SERVICES RD NO.12,DOMESTIC,1,640,607.0,145799,2836.54,7,1,7,32.71325542358695,54.15462825432584,industrial,4682,580.2450777228223,371.0700212078255,solar,13.081783482969586
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,BADRUKA&ITQ& ROCK ROOF APTS,DOMESTIC,1,614,603.0,105630,2115.06,14,3,3,30.942547608892095,51.98357461893552,rural,3628,470.82851719781604,365.8505791262224,solar,17.29740901564128
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,BALREDDY NAGAR,DOMESTIC,1,1776,1489.0,162489,1294.68,2,5,5,36.42253259781745,70.12585377977575,urban,5841,417.92813572843727,332.1745254402737,solar,25.656882429656264
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"BJR NAGAR,PATEL NAGAR QUARTERS",DOMESTIC,1,927,903.0,107672,872.18,13,1,7,36.3780455302826,68.17922435339392,rural,7245,220.48688090891895,145.62440585947238,solar,16.696599997646402
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,A G COLONY,DOMESTIC,1,1030,598.0,32682,1241.58,16,5,1,31.973640189232114,48.841566582163125,industrial,5793,483.6488150538138,363.7777238592796,solar,29.29957987880601
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,COUNCELLOR & VIDEO LANE,DOMESTIC,1,1544,1495.0,170150,1751.79,3,0,12,20.439881065181275,51.565596292969225,industrial,8362,442.1478095295218,247.59477250361556,solar,14.13381584000454
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"CHURCH GULLY,MLA COLONY,APOLO",DOMESTIC,1,293,284.0,166675,5724.26,17,3,1,27.386599046694357,75.12398663574365,rural,6761,2851.1649601165204,1441.3325804902586,solar,25.17936956899684
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,D.D.N - VINAYAK NAGAR,DOMESTIC,1,1752,1675.0,218037,1834.74,7,2,5,24.576331706869478,85.27725491406012,rural,5218,606.8289977029801,578.0335045416562,solar,31.50492737617625
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,DURGA BHAVANI NAGAR,DOMESTIC,1,1174,925.0,121894,1071.49,3,0,9,26.775762175105015,49.4528849918411,industrial,1910,261.97395179582975,188.8181693115454,solar,17.62201880666599
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GOVT SERVICES,DOMESTIC,1,30,30.0,37811,306.0,1,1,7,32.345853090321235,47.512654162898215,rural,5810,67.97796047722245,41.84275493943228,solar,13.6741029213831
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,DOMESTIC,1,345,341.0,271755,6066.27,5,2,1,21.32923805365455,45.91680119118067,rural,2075,1978.623803091643,1315.6164019420219,solar,21.687402669878225
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,DOMESTIC,1,310,302.0,218992,6382.9,21,4,12,20.444840980979432,38.49041397472733,industrial,5357,2825.8863798669845,2144.36047228417,solar,33.59539507565793
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GYANI JAIL SINGH NAGAR,DOMESTIC,1,1330,1157.0,139435,1244.56,9,2,5,28.737458319606088,52.63045352976493,urban,2852,412.75898069556035,401.7081522550935,solar,32.27712221629279
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,DOMESTIC,1,62,61.0,16116,667.74,3,1,8,35.8714766449529,60.96036698690814,urban,2563,161.8094780355189,139.2348108224712,solar,20.851650466120226
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GANDHI STATUE LANE,DOMESTIC,1,291,290.0,43084,480.67,21,6,8,20.613971491971036,62.24599532570108,industrial,2291,166.6063304803956,162.29008566209424,solar,33.76330656419045
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,GRC - NON CT METERS,DOMESTIC,1,89,89.0,22250,668.0,17,2,12,36.98097170186128,71.46182021592497,rural,8169,201.20907471262316,111.87958412445003,solar,16.748440737193118
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHAR NAGAR SAIBABA TEMPEL,DOMESTIC,1,1463,1447.0,164723,1897.8,11,1,2,27.677592655000158,33.15311011697338,urban,2977,665.2938497649299,391.95069621360904,solar,20.65289789301344
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,JAWAHARNAGAR,DOMESTIC,1,2321,2247.0,289331,2843.58,1,6,7,22.364708578909035,63.68452426929533,rural,4941,902.3850072545483,614.9852099970979,solar,21.62714641392533
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR,DOMESTIC,1,331,313.0,70707,958.21,9,0,10,31.349954575962045,45.29933771350697,industrial,2469,377.8861458894023,235.10463503348018,solar,24.535815221452516
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,KALYAN NAGAR APARTMENT,DOMESTIC,1,984,976.0,218339,3354.1,3,6,5,39.04721122848819,44.34740979600875,rural,3830,1479.451153909118,1447.6715823318134,solar,43.161252864607896
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,HT DOMESTIC,DOMESTIC,1,16,16.0,111506,2255.0,13,3,9,30.850257980776302,77.38355578173207,urban,871,1050.6855859816205,615.2748970251314,solar,27.284917828165472
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"J HILLS, 71,72,73,74,75,76,77",DOMESTIC,1,713,655.0,195739,3485.81,15,4,3,33.73269511571943,39.20863459258625,rural,7644,1472.360950021525,861.2861186439955,solar,24.7083495269104
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"J HILLS,78,79,80,81,82",DOMESTIC,1,699,608.0,196136,3442.21,14,6,1,36.328425737820396,49.74600892053824,urban,6220,1055.0611210956254,784.7756358587026,solar,22.798598454443585
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,JOURNALIST A&B NANDAGIRI HILLS,DOMESTIC,1,864,821.0,164111,3705.86,7,3,4,35.986802444948395,68.25830141423492,rural,5774,1239.7488000175317,1051.8623480821127,solar,28.383758374091645
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,JUBILEE HILLS ROAD NO.92,DOMESTIC,1,1535,1498.0,430045,9215.01,13,3,7,21.462374570274793,68.57240220089034,urban,3125,3617.164544471508,2494.5543988981317,solar,27.070555527320444
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,M L A COLONY,DOMESTIC,1,1331,1265.0,447960,7449.53,22,3,1,34.8199082646185,32.88527617749155,rural,7001,1981.191736232291,1033.9040476791588,solar,13.878782254439662
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,M.G NAGAR,DOMESTIC,1,851,657.0,60626,499.03,7,6,2,38.98899131745749,34.353531020429784,urban,6136,204.86620986658923,180.88117201310797,solar,36.24655271488848
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,MRNC.BHAGAT SING.GOUTAM NAGAR ,DOMESTIC,1,2124,1920.0,237456,2186.22,20,1,5,34.013044679611546,69.32179515159429,urban,1738,863.4190124042939,839.865148334328,solar,38.416314384386204
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,N B NAGAR,DOMESTIC,1,804,757.0,106280,960.55,15,1,9,36.72885787420935,87.18906460199719,industrial,9868,381.2866109123258,345.158237936816,solar,35.933396276801425
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,MADHRANAGAR A  C,DOMESTIC,1,870,846.0,148276,2820.34,12,4,1,29.710994020222394,89.91018681540015,rural,7400,846.0965807193005,778.4464046880539,solar,27.601154636960572
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,"MADHURA NAGAR(B,D,H)",DOMESTIC,1,1704,1651.0,356956,5551.03,17,1,12,26.38138652745743,89.22659006336984,urban,7272,2112.000714499573,1951.387021966755,solar,35.153602520014395
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,MADHURANGAR E F G,DOMESTIC,1,2040,2014.0,397703,6421.5,14,5,4,33.524784461817475,51.09481280207409,rural,2222,1665.220709977718,1464.981903411996,solar,22.813702459113852
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,RAHAMATH NAGAR CHURCH,DOMESTIC,1,2627,2569.0,301397,3216.14,20,1,12,29.843999562388305,44.508615115273145,rural,4169,826.2546438697888,745.8738006701309,solar,23.191583720551062
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,RAHMATHNAGAR(SOUTH),DOMESTIC,1,2368,2283.0,242950,2586.32,23,1,3,37.9057771262881,35.91896125180831,industrial,8211,1113.55621093455,599.4640153839305,solar,23.178261598871387
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SIDHARTHA NAGAR,DOMESTIC,1,1025,998.0,241999,3264.49,12,1,5,39.48763937187719,49.54960978179037,urban,8753,1024.619286707304,540.284437972953,solar,16.55034746539132
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,SRINIVASA COLONY,DOMESTIC,1,400,349.0,72676,1068.29,8,0,5,36.39604135018001,46.6112186902172,urban,9865,388.1948404742639,208.69991367611854,solar,19.535885731039187
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,N B T NAGAR-1,DOMESTIC,1,2027,1933.0,231609,2592.13,14,4,10,39.853592349708876,64.60777268058399,rural,3953,746.0737357627963,593.6959988513913,solar,22.90378950328075
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,N.B.T NAGAR ,DOMESTIC,1,2189,2137.0,236761,2699.31,12,5,2,26.967411967886065,52.127129818909125,industrial,8001,730.8557436689046,453.58430056480944,solar,16.803712821602907
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,NANDAGIRIHILLS GRC,DOMESTIC,1,215,212.0,183707,5163.0,0,1,5,37.91510757508967,43.89179443500178,urban,6692,2240.5356330848845,1151.823567327522,solar,22.30919169722103
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,PADMALAYA  BASTI,DOMESTIC,1,472,465.0,47689,480.92,6,4,9,26.59867257594759,66.75269530634823,urban,7612,210.7652787671803,113.45218017324189,solar,23.590655446486295
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,PENSION OFIC TO RDNO-12 S.S,DOMESTIC,1,424,393.0,121761,1911.04,8,2,5,22.360761506119072,49.38405998087078,rural,4720,861.6603208143619,460.35315913831045,solar,24.089143039303753
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,PRASHASAN NAGAR,DOMESTIC,1,797,771.0,177604,4023.42,23,0,11,32.427473906228975,51.21840960564332,urban,2843,1836.0216262121799,1494.0758714239896,solar,37.13447443776662
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,RDNO-12 SS TO TRS  BHAVAN CIRC,DOMESTIC,1,730,701.0,264221,4977.97,0,6,10,29.099772686239927,65.90643188522822,rural,167,1609.944636392281,919.9713776933346,solar,18.4808541974607
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,SRIRAM NAGAR RD NO-13,DOMESTIC,1,1929,1899.0,303353,2775.86,11,1,2,38.433984668612354,37.093113615935096,urban,4894,1228.845999182134,1134.0702677101501,solar,40.85473574712522
